customer_id,customer_name,city,state,registration_date,customer_segment
CUS000001,Pooja Gupta,Kolkata,Maharashtra,2025-07-30,Enterprise
CUS000002,Sneha Jain,Pune,Uttar Pradesh,2024-01-16,Enterprise
CUS000003,Priya Gupta,Mumbai,Rajasthan,2024-03-04,Retail
CUS000004,Nikhil Joshi,Jaipur,Delhi,2025-06-09,Business
CUS000005,Kavya Mehta,Chennai,Maharashtra,2022-07-17,Enterprise
CUS000006,Aditya Sharma,Delhi,Delhi,2022-03-06,Retail
CUS000007,Arjun Joshi,Bengaluru,Maharashtra,2022-03-07,Enterprise
CUS000008,Sneha Joshi,Jaipur,Uttar Pradesh,2025-12-07,Enterprise
CUS000009,Neha Sharma,Chennai,Karnataka,2025-05-25,Enterprise
CUS000010,Aditya Sharma,Bengaluru,West Bengal,2022-06-13,Business
CUS000011,Vivaan Gupta,Jaipur,Gujarat,2024-01-26,Enterprise
CUS000012,Vivaan Malhotra,Hyderabad,Rajasthan,2022-03-25,Enterprise
CUS000013,Aditya Verma,Mumbai,Karnataka,2024-11-29,Retail
CUS000014,Arjun Singh,Jaipur,Gujarat,2023-01-24,Retail
CUS000015,Nikhil Singh,Lucknow,Delhi,2025-02-17,Enterprise
CUS000016,Pooja Mehta,Mumbai,Uttar Pradesh,2024-01-04,Enterprise
CUS000017,Karan Mehta,Mumbai,Delhi,2023-01-05,Enterprise
CUS000018,Sneha Kapoor,Chennai,Delhi,2024-12-29,Enterprise
CUS000019,Karan Gupta,Chennai,Rajasthan,2023-10-27,Business
CUS000020,Aisha Mehta,Chennai,Uttar Pradesh,2023-05-08,Enterprise
CUS000021,Pooja Singh,Ahmedabad,Rajasthan,2023-06-05,Business
CUS000022,Karan Joshi,Ahmedabad,Maharashtra,2026-01-27,Retail
CUS000023,Ishita Malhotra,Pune,Rajasthan,2022-10-04,Business
CUS000024,Aarav Verma,Bengaluru,Karnataka,2023-10-07,Retail
CUS000025,Neha Kapoor,Jaipur,Rajasthan,2025-03-14,Enterprise
CUS000026,Rahul Patel,Pune,West Bengal,2023-12-30,Retail
CUS000027,Rahul Verma,Chennai,Uttar Pradesh,2023-05-27,Retail
CUS000028,Neha Verma,Mumbai,Uttar Pradesh,2024-03-29,Enterprise
CUS000029,Ananya Patel,Chennai,West Bengal,2022-12-21,Business
CUS000030,Simran Patel,Lucknow,Telangana,2022-03-18,Enterprise
CUS000031,Simran Mehta,Mumbai,Maharashtra,2023-11-16,Business
CUS000032,Aisha Mehta,Mumbai,Karnataka,2025-08-29,Enterprise
CUS000033,Aarav Mehta,Pune,Telangana,2024-12-09,Retail
CUS000034,Kavya Kapoor,Lucknow,Delhi,2023-11-01,Enterprise
CUS000035,Priya Jain,Pune,Gujarat,2024-07-01,Enterprise
CUS000036,Simran Kapoor,Mumbai,Karnataka,2024-06-03,Business
CUS000037,Sneha Jain,Delhi,Tamil Nadu,2022-06-19,Business
CUS000038,Simran Sharma,Jaipur,Gujarat,2023-06-22,Retail
CUS000039,Sneha Kapoor,Ahmedabad,Delhi,2022-10-04,Business
CUS000040,Pooja Singh,Kolkata,Gujarat,2025-08-28,Enterprise
CUS000041,Ananya Kapoor,Lucknow,Rajasthan,2023-05-20,Retail
CUS000042,Aditya Verma,Ahmedabad,Tamil Nadu,2025-11-03,Enterprise
CUS000043,Aditya Patel,Ahmedabad,Gujarat,2024-01-19,Business
CUS000044,Ananya Gupta,Chennai,Uttar Pradesh,2025-09-04,Retail
CUS000045,Ishita Jain,Chennai,Uttar Pradesh,2024-06-24,Enterprise
CUS000046,Rahul Joshi,Pune,Karnataka,2023-02-13,Enterprise
CUS000047,Meera Jain,Mumbai,Maharashtra,2022-04-22,Retail
CUS000048,Amit Jain,Hyderabad,Maharashtra,2023-12-05,Enterprise
CUS000049,Arjun Verma,Kolkata,West Bengal,2022-02-16,Business
CUS000050,Ananya Kapoor,Bengaluru,Karnataka,2025-01-24,Enterprise
CUS000051,Neha Kapoor,Kolkata,Uttar Pradesh,2026-02-03,Retail
CUS000052,Aarav Mehta,Lucknow,Rajasthan,2022-03-31,Business
CUS000053,Rohan Sharma,Hyderabad,Karnataka,2025-11-27,Enterprise
CUS000054,Neha Sharma,Kolkata,Maharashtra,2022-05-17,Business
CUS000055,Neha Gupta,Mumbai,Maharashtra,2023-08-23,Enterprise
CUS000056,Sneha Singh,Ahmedabad,Rajasthan,2025-12-24,Retail
CUS000057,Kavya Joshi,Lucknow,Rajasthan,2022-06-30,Retail
CUS000058,Ananya Kapoor,Kolkata,Rajasthan,2025-12-30,Retail
CUS000059,Vivaan Singh,Jaipur,Telangana,2023-11-15,Business
CUS000060,Sneha Jain,Pune,Tamil Nadu,2025-11-02,Business
CUS000061,Meera Verma,Bengaluru,Rajasthan,2023-07-19,Retail
CUS000062,Neha Mehta,Pune,Rajasthan,2023-07-28,Retail
CUS000063,Rahul Gupta,Ahmedabad,Delhi,2022-06-29,Enterprise
CUS000064,Sneha Kapoor,Lucknow,Karnataka,2024-05-04,Retail
CUS000065,Simran Jain,Ahmedabad,Telangana,2025-05-24,Business
CUS000066,Karan Kapoor,Delhi,Karnataka,2025-08-29,Retail
CUS000067,Simran Kapoor,Bengaluru,Delhi,2023-09-25,Enterprise
CUS000068,Nikhil Jain,Ahmedabad,Delhi,2025-09-05,Enterprise
CUS000069,Rohan Gupta,Mumbai,Rajasthan,2024-12-27,Enterprise
CUS000070,Arjun Jain,Chennai,Delhi,2026-01-29,Retail
CUS000071,Kavya Mehta,Ahmedabad,Telangana,2024-06-26,Enterprise
CUS000072,Neha Jain,Bengaluru,Maharashtra,2022-09-27,Retail
CUS000073,Aarav Malhotra,Lucknow,Telangana,2025-05-25,Enterprise
CUS000074,Amit Singh,Lucknow,Karnataka,2023-04-18,Enterprise
CUS000075,Aarav Gupta,Mumbai,West Bengal,2022-10-02,Enterprise
CUS000076,Amit Joshi,Chennai,Delhi,2024-03-04,Business
CUS000077,Vikram Jain,Delhi,Karnataka,2023-04-09,Retail
CUS000078,Aisha Sharma,Hyderabad,Gujarat,2023-04-01,Enterprise
